video_id,labels
DFLYPNPL,['13']
DFMWBSBA,"['102', '103', '32']"
DFUFPFFP,['37']
DFUIYPTK,"['22', '15', '2']"
DFWMFHVR,"['133', '68']"
DGAYWZQJ,"['114', '52']"
DGEAYKDQ,"['133', '15']"
DGKVPZON,['2']
DGTXIZQJ,['68']
DGYBYFNJ,['52']
DHACIKEW,['102']
DHHHQZQJ,['59']
DHHZMIFB,"['7', '40']"
DHKCMFGA,"['133', '100']"
DHROZVTT,['40']
DHTDPTFT,"['26', '38', '102', '27']"
DHWESRGE,['28']
DIBOAVEI,['104']
DIDIAPTK,"['15', '102']"
DIHHNNQN,['15']
DIKSHHVR,"['8', '120']"
DIKUCLHH,"['68', '65']"
DIKZKXEV,['107']
DIRBGXYT,['2']
DISFEKEW,"['13', '67', '100']"
DIYRMMWW,"['15', '68']"
DJCWVBQT,"['8', '78']"
DJDGGZQJ,"['102', '68']"
DJEYBVEI,"['40', '102', '133', '103']"
DJKVPKDQ,['104']
DJLCLKRF,['2']
DJLQKNPL,['67']
DJNAFNQN,['15']
DJNSKDSN,"['68', '2']"
DJQKJPTK,"['15', '102', '68']"
DJRERVEI,['102']
DJSQAHGW,"['13', '9', '102']"
DJSQZXDO,"['51', '14']"
DJUARKZB,['68']
DJYWRPLS,"['102', '68']"
DJZJBNPL,['123']
DKBWFVEI,"['100', '52', '123']"
DKEOCKWA,['78']
DKGDTSBA,['2']
DKGGMKRF,['68']
DKGVYPLS,"['68', '123', '2']"
DKHAJTFT,"['26', '38', '102', '27']"
DKHMVPLS,"['133', '102']"
DKVWIPTK,['15']
DLAKBLHH,"['7', '40']"
DLDPJVEI,"['52', '32', '133', '90', '100', '68', '102']"
DLDWCUXS,"['102', '68']"
DLPYDBXG,"['32', '104']"
DLTDIPLS,"['68', '133', '2']"
DLUOIXSF,"['15', '102', '105']"
DMBCGUXS,['2']
DMCRULHH,"['68', '65']"
DMCURVEI,"['40', '2']"
DMNQQSBA,"['68', '2']"
DMRAEKRV,"['15', '49']"
DMROIBXG,"['32', '104']"
DMRYWVEI,"['15', '102', '2', '104']"
DMSFATFT,"['47', '38', '102', '27']"
DMWRMKEW,['101']
DMWWMVEI,"['90', '32']"
DNKQXDHC,['102']
DNNHEPTK,"['15', '102', '68']"
DNOUJLWC,['68']
DNSAEPTK,"['68', '15', '2']"
DNSQRZON,['102']
DNTDONQN,"['15', '102']"
DNTSUDFS,['68']
DNVSMCEI,"['78', '102']"
DNVWSFGA,['40']
DNZMTPTK,"['68', '15', '2']"
DOAIQDFS,"['68', '2']"
DODCXPIK,['123']
DODKKPLS,"['69', '133', '52']"
DOFHQMWW,['15']
DOIERCJH,"['78', '52']"
DOIIPSBA,['68']
DONTHVYK,['68']
DORDWDPO,"['133', '102', '68']"
DORZGTKX,['102']
DOUAHKEW,['133']
DPAJWPTK,"['15', '68']"
DPBTHSBA,"['67', '38', '102', '135']"
DPBULVEI,"['68', '133', '2', '33']"
DPFJYBGG,['102']
DPHTODAL,"['13', '5']"
DPJMQIFB,['68']
DPMVXADM,"['78', '27']"
DPPAKEUL,"['112', '102']"
DPQSFVEI,"['48', '52', '133', '2', '102']"
DPRHXKRF,['102']
DPTOPUDI,"['15', '68', '103', '2', '104']"
DQMXGHGW,"['102', '2', '104']"
DQNLOVEI,['90']
DQOBRDFS,['68']
DQUHCMRN,"['133', '90', '102', '123']"
DQWZIJVY,['102']
DRFIMPTK,['68']
DRGOCLHH,['68']
DRIJYVEI,"['90', '104']"
DRINZXDO,"['133', '78']"
DRJWXPLS,"['68', '133', '2', '8']"
DRKSIHGA,"['133', '78', '2']"
DRPZRLHH,['102']
DRTUDXDB,['48']
DRWVSCCR,['15']
DRXKILHH,['78']
DRYCTBXG,"['32', '104']"
DRYEHVEI,"['68', '133', '2']"
DSAGEHIS,['102']
DSBCIVEI,"['45', '40', '133']"
DSJJJGDO,['52']
DSJVXSBA,['15']
DSQFSLHH,"['133', '1']"
DSTTUPTK,"['15', '90', '68', '2', '104', '102']"
DSUJLGDO,['40']
DSVZHMRN,['90']
DSWBAHIS,['78']
DTAREAMC,"['133', '116', '8', '87', '102', '74']"
DTBJQKEW,['102']
DTFKQDFS,['78']
DTFTMVEI,"['40', '90', '48', '49']"
DTJCNELW,['68']
DTNOZNCR,['123']
DTQDGFFP,"['13', '87', '28']"
DTQKPLHH,['68']
DTSQEPTK,"['68', '15', '102', '2']"
DTULJZIE,['40']
DTVBLELW,['68']
DUKCBPTK,['15']
DULOYSBA,['133']
DUMBOLHH,['78']
DUMCHKEW,['133']
DUNTUKEW,['40']
DUSFQFGA,"['69', '133']"
DUVGFFNJ,['133']
DVCHPPTK,"['68', '15', '2']"
DVDGWUXS,['2']
DVNKBVEI,['90']
DVNOFVEI,"['40', '102']"
DVSWTVEI,['102']
DVTHBGFR,['102']
DVZRNPTK,"['15', '2']"
DVZVBVEI,"['68', '32']"
DWCHWTEK,['125']
DWCMWBXG,"['40', '67']"
DWEPNLHH,['68']
DWFQDFNJ,['2']
DWIUIVEI,"['15', '90', '68', '135', '40', '2', '102']"
DWJOILHH,"['7', '40']"
DWMGGZYO,"['45', '68']"
DWOLCXDO,"['14', '1', '96']"
DWQMPXPO,['78']
DWRPELBD,"['133', '102']"
DWRPZVEI,"['133', '102', '2']"
DXDYYPTK,['52']
DXGMSXXP,"['7', '1']"
DXMYYZLK,"['133', '102', '104']"
DXNJLVEI,['102']
DXNQUKEW,"['13', '100']"
DXXFCZLK,"['40', '102', '104']"
DYEUXVEI,"['128', '133', '68', '40', '2', '104', '102']"
DYGWPCIW,['78']
DYHPTLHH,['16']
DYLKWBXG,"['32', '104']"
DYLZNCIW,['78']
DYMDBPTK,['15']
DYMOLMRN,"['68', '133', '40', '2']"
DYQFCVDY,"['15', '102']"
DYTXNFGA,['123']
DYUSUVEI,"['133', '32']"
DYVGVLHH,['133']
DYXROTKX,"['40', '102', '48', '104']"
DYZTIRTZ,['68']
DZDCGLHH,"['78', '68']"
DZFAZVDY,['102']
DZFEUVCV,['133']
DZKIJZQJ,['2']
DZMJXLWC,['16']
DZMSKXDO,['133']
DZMZHOYV,['58']
DZNECAMC,['133']
DZPXKHVR,['68']
DZRORPTK,"['15', '2']"
DZUIAGCS,"['1', '3', '97']"
DZVIBEZZ,"['68', '97']"
DZWUGHIS,"['40', '78']"
DZXSUPTK,"['15', '90', '68', '2', '104', '102']"
DZYREVEI,"['90', '68']"
DZZPSFKM,"['102', '68']"
EAHCBNMW,"['102', '68']"
EAKPHHDU,"['67', '102']"
EAKUOVRU,['40']
EAPUGHAQ,['102']
EAZMYNQN,"['15', '102']"
EBAHEPTK,"['90', '15', '102', '2']"
EBAQBDHC,['78']
EBAXOCVX,['52']
EBCNIQWI,"['15', '30']"
EBJGCZQJ,"['68', '75', '2']"
EBKGUUPH,"['123', '103']"
EBLGAUDI,['68']
EBOJNFGA,['100']
EBOUBHBS,['102']
EBQIZXDO,"['8', '120']"
EBYYYANS,"['66', '68']"
EBZELTKX,"['40', '2']"
ECFGHZQJ,"['133', '68']"
ECFYDDSN,['16']
ECGUPHDU,"['13', '67', '102']"
ECLTQVEI,['108']
ECQRGFGA,['100']
ECQVQPTK,"['15', '102']"
ECQYUPTK,"['15', '102', '68']"
ECREXBXG,"['48', '90', '76', '68', '67', '102']"
ECRZILBD,"['133', '102']"
ECSIQTFT,"['26', '47', '38', '133', '90', '27', '102']"
ECXFAPTK,"['15', '102', '68', '104']"
ECZZTGDO,['78']
EDDONLHH,['68']
EDGIHGJU,['25']
EDJGPPAF,['68']
EDLMQTFT,"['38', '102']"
EDNIWFYY,['102']
EDOCWFGA,['123']
EDZAGWBO,['40']
EEDBVHVR,['139']
EEEGPIYC,['102']
EEGGNKRF,"['78', '102']"
EEJUEMRN,"['40', '68']"
EEMFGFGA,['123']
EEWBYAMC,"['116', '133', '102']"
EFDOFSOM,['52']
EFSIIPTK,"['15', '104']"
EFSLNHGW,['40']
EFVAEKBT,['2']
EGIGQOYV,"['8', '6', '78']"
EGJBKAMC,['102']
EGKQRPLS,"['133', '90', '68', '8', '40', '2']"
EGRGNHGW,"['102', '2']"
EGSASKPH,['102']
EGXVVVEI,"['40', '133']"
EGZQYGIW,"['78', '2', '5']"
EHMTPPTK,"['15', '2']"
EHOFDXSF,"['40', '21']"
EHVWWHDU,['13']
EHYOYVTT,"['40', '8']"
EIBCFPIK,['123']
EICIKNQN,['15']
EICLTBXG,"['32', '104']"
EISDXBXG,"['68', '2']"
EIWPAAEM,['102']
EIWYHOXJ,['133']
EJBVSVEI,['2']
EJEYEPTK,['2']
EJGVMIFB,['68']
EJOHLIOQ,['52']
EJQNKCIW,['67']
EJSGMPTK,"['15', '68']"
EJSMBIWV,['116']
EKBBIVEI,"['90', '104']"
EKFUMUDI,['2']
EKILVSBA,"['102', '135']"
EKLRIZLK,['67']
EKSKXWPM,['45']
EKTXDFNJ,['102']
EKTXHNPL,"['133', '76', '45', '68']"
EKWLUHIS,"['78', '45']"
EKYXWVEI,"['133', '102', '104']"
ELAPRMYV,"['68', '2']"
ELJLYEUL,"['112', '102']"
ELKHEJNO,['68']
ELQIILHH,"['68', '65']"
EMBGBPTK,"['15', '2']"
EMCJSTKX,"['40', '102', '48']"
EMELYLHH,['68']
EMFZBLHH,['78']
EMGPGGJU,['40']
EMGSGUBE,['78']
EMHNRUIV,"['31', '135']"
EMSBEKEW,['98']
EMTHBYUQ,"['78', '102']"
EMVKNVOG,['102']
EMVYGDSN,['15']
EMWGBSEK,"['38', '68']"
EMXCBLHH,['68']
EMXGBZLK,['69']
EMYPUPTK,"['15', '102', '68', '104']"
EMZZAXDO,"['100', '1', '96']"
ENAPWKDQ,"['69', '52']"
ENCQCCNX,['133']
ENGUAPIF,"['121', '28']"
ENGVFPLS,"['133', '102', '68', '104']"
ENIUQBLQ,['78']
ENIXXDFS,['78']
ENSLIGCS,"['3', '68', '139']"
ENUOSVEI,"['40', '68', '104']"
ENUUSVEI,['68']
ENWVLKRF,['102']
ENZZFUDI,['68']
EOAFTXPO,"['7', '40', '78']"
EOGDPBXG,"['133', '90', '102']"
EOGUXVOG,"['94', '68']"
EONHEAMC,['133']
EOOGTSBA,['52']
EOONOHVR,"['7', '1']"
EOPSNKEW,['57']
EOQZGDFS,['78']
EORCQMRN,['40']
EORNONQN,['15']
EOUAXTFT,"['47', '38', '102', '27']"
EOWMOYTZ,"['133', '68', '104']"
EOYNBNPL,"['15', '102', '49']"
EOZEPBSK,['123']
EPEAAKRF,"['102', '68']"
EPENIPLS,"['7', '40', '38', '114']"
EPFVHPLS,"['68', '133', '2', '8']"
EPJAXSBA,"['52', '2']"
EPMOZDFS,['78']
EPNGGIFB,['68']
EPQDGFGA,['100']
EPQTSSBA,"['69', '49']"
EPSKNAMC,['102']
EPSTKPTK,"['68', '15', '22', '2']"
EQCVYKRF,['78']
EQDKPSBA,"['68', '100', '40', '2']"
EQGJZMRN,['40']
EQKYRFFP,"['28', '104', '13', '87', '102']"
EQMCFJKU,"['102', '123']"
EQOEDNPL,['102']
EQOSUVMW,['78']
EQUASPTK,['68']
EQYTOHGW,['102']
EQYWZHCU,['102']
ERGMJNPL,['68']
ERKBULHH,['139']
ERTWNNQN,"['15', '102']"
ERXUMMRN,"['48', '133', '90', '40', '2', '104', '102']"
ERYGEVEI,"['40', '133']"
ESAUVHGW,"['133', '102']"
ESAXHBGG,"['15', '2']"
ESCHKTKX,['104']
ESDPUZQJ,"['75', '2']"
ESEVWPTK,"['15', '102']"
ESEYJPTK,"['15', '102', '68']"
ESFQCHAQ,"['116', '110', '102']"
ESFTKFIO,['15']
ESIDENPL,['110']
ESJVRIQR,"['102', '97', '133', '8', '39', '120']"
ESKBLVEI,"['69', '133', '48', '32']"
ESREYPKK,"['133', '68']"
ESRRRHCQ,['47']
ESTCJLBD,"['15', '68']"
ESWHUIQR,"['8', '5']"
ESYVKXDO,"['97', '133', '1', '100', '96', '102']"
ESZHNKRV,['49']
ETDYGKWA,['2']
ETKEZXDO,"['133', '52', '68']"
ETOKQXGD,"['26', '14']"
ETTBAUPH,['80']
ETTESEBY,['67']
ETTXCPTK,"['15', '22', '68', '2', '102']"
EUHDVVEI,['68']
EUJMFKDQ,['52']
EUKODVEI,"['90', '102', '104']"
EUMKLZIE,"['40', '48']"
EUNTXNPL,"['102', '68', '103']"
EUQUCLHH,['58']
EUYBPAEY,"['133', '48']"
EVDXMLHH,['45']
EVFMOVEI,"['133', '102']"
EVOVAXDO,"['133', '95', '2']"
EVQRFFGA,['133']
EVRCAMRN,"['40', '90', '102', '103']"
EVTFIKRF,['78']
EVUWKEBY,['133']
EVXHKPTK,"['15', '68']"
EVXVVMRN,"['133', '90', '100', '68', '103', '102']"
EVYFNXXP,['78']
EWFBCVYK,['78']
EWFZRPTK,"['15', '68']"
EWGAWZQJ,['100']
EWJGIVRU,['58']
EWKIVPTK,['102']
EWKVONPL,"['15', '90', '105', '68', '40', '102']"
EWMAULHH,['68']
EWMBNBSK,['123']
EWMRMLHH,['67']
EWNBXHAQ,"['13', '40', '102', '68']"
EWRHCKDQ,['52']
EWSJLUBE,"['19', '102']"
EXCZZDCD,['11']
EXHBPKDQ,['52']
EXLSFDAL,"['40', '5', '104']"
EXLSKNPL,['123']
EXMKVVJP,['78']
EXPPRZQJ,['52']
EXPRKNPL,"['67', '102']"
EXRHFPLS,"['133', '68', '40', '114', '2', '102']"
EXXKVVEI,"['68', '102', '52', '2']"
EXZQHZQJ,['52']
EYOVRCVX,['52']
EYSFNCVX,['20']
EYUYUNPO,['133']
EZCZNAMC,"['133', '68', '8', '58', '87', '120', '74']"
EZEMMLHH,['68']
EZFUHMYV,['68']
EZGYVFYY,"['102', '123']"
EZKZMBXG,['52']
EZLGKHVR,['68']
EZLLAXDO,"['29', '1', '91']"
EZNCUWTR,['102']
EZUEPZQJ,['10']
FAHDZLHH,['102']
FAHIIWBO,"['52', '133', '67', '40', '2', '27', '13', '102']"
FAJOQKOU,"['13', '67', '15', '102']"
FANGATFT,"['26', '47', '38', '133', '90', '27', '102']"
FAORYOIP,"['78', '68']"
FAPTBLHH,['78']
FAULBEZZ,"['68', '133', '2']"
FAUXUKWA,['68']
FAWFAAMC,"['133', '100']"
FAZSYVEI,"['45', '40', '133']"
FBHDRJVR,['40']
FBJJBLHH,['2']
FBRBAMYV,"['102', '68']"
FBRFVPTK,"['68', '15', '102', '2']"
FBTSMMRN,['40']
FBVYAPTK,"['15', '68']"
FBXEYPLS,"['69', '48', '100', '68', '40', '2', '102']"
FCBUILHH,['47']
FCDCWZGK,"['9', '78']"
FCEYQDFS,['78']
FCKPYAMC,"['133', '68']"
FCLRRNPL,"['78', '102', '68']"
FCMILSBA,['133']
FCMXJDSN,['100']
FCNBVOIP,['78']
FCSOTEUV,"['68', '2']"
FCTCYLWC,['133']
FCVMFMRN,"['40', '133']"
FCWUGZIE,"['40', '78']"
FDCMAHVR,['78']
FDERVUXS,['68']
FDIBVNPL,['102']
FDKWXHVR,"['7', '1']"
FDPIGPTK,['15']
FDQFIPTK,"['68', '15', '2']"
FDVDAKWA,"['1', '120']"
FDWLOVDY,['15']
FDYHZHBS,"['15', '102']"
FDZYMIQR,"['13', '8', '102', '5']"
FEDUFVDY,"['15', '102', '104']"
FEEADHAQ,"['69', '68', '114', '2', '13', '102']"
FEFBUZLK,"['133', '48']"
FEGAKMRN,"['48', '32', '133', '90', '49', '40', '2', '104', '102']"
FEIQRPTK,"['90', '15', '104']"
FEMRYLHH,['78']
FETWZXDO,['40']
FEUURHVR,"['69', '68']"
FEXNJAMC,"['133', '116', '8', '58', '2', '87', '102', '74']"
FEYCJUPH,"['133', '15']"
FFAPABXG,"['32', '104']"
FFBZLLWC,['68']
FFDXVMYV,['68']
FFKLMPTK,"['68', '15', '102', '2']"
FFPTPHGA,"['45', '68']"
FFRKYPLS,"['123', '68']"
FFYKNAMC,['133']
FGFYFXSF,"['40', '15', '102', '105']"
FGHVTDFS,['68']
FGIHONPL,['123']
FGISHPIF,['121']
FGJMPVEI,['90']
FGLLYIMN,['133']
FGNCBKDQ,['102']
FGPGOCNX,"['133', '108']"
FGSAJZIE,"['69', '102', '52']"
FGWTSHGW,['15']
FHCRPPTK,"['68', '15', '2']"
FHMMIKDQ,"['69', '102', '52']"
FHMYKTFT,"['26', '47', '38', '27', '102']"
FHOPHAMC,"['16', '133', '67']"
FHTRLKRV,['2']
FHZICSEK,"['133', '123']"
FIFMGDSN,['133']
FIGHEPKK,"['102', '46', '68', '84']"
FIJIPLHH,"['133', '68']"
FIKHLIFB,['68']
FIMXQXDO,"['133', '102']"
FIVIHBLQ,['78']
FIYPAVDY,"['15', '102']"
FJFUPNBD,['102']
FJGWPNPL,"['54', '1', '123']"
FJHBEWTR,['68']
FJHYUMWW,['15']
FJJGMMRN,['40']
FJJRKZQJ,"['90', '2']"
FJLSEEBY,['2']
FJNLQVEI,['40']
FJVBZHVR,['68']
FJXCGCGB,"['75', '133']"
FJZUCPTK,['15']
FKGSQKEW,['78']
FKQQFHVR,['102']
FKTOVCNX,['8']
FKTXMUFF,"['40', '133']"
FLDIHKDQ,['102']
FLIYQFYY,['2']
FLKXOLHH,"['67', '78', '68']"
FLLJZXEC,"['19', '102']"
FLQLBAMC,['133']
FMBZBIFB,['68']
FMDKOLHH,['68']
FMDLTZLK,['2']
FMFNULHH,['68']
FMKOWOYV,"['8', '6', '78']"
FMMIZFGA,['123']
FMMMZUXS,['62']
FMOTILHH,['123']
FMPGFVEI,"['40', '133']"
FMRJGOIP,"['7', '40']"
FNAZHTFT,"['38', '102', '27']"
FNCIEVEI,"['52', '123']"
FNEDDUUK,['105']
FNGNVNPL,"['102', '68']"
FNIOVSBA,['52']
FNJKXNPL,"['69', '15']"
FNOBLPTK,"['15', '68']"
FNODDZJZ,['102']
FNQCULHH,['68']
FNSZWHIS,['102']
FNUCOPTK,"['15', '102', '68', '104']"
FNWHCPTK,"['15', '102', '68', '104']"
FNXCGBXG,"['32', '104']"
FOBTVRGE,['40']
FOCIGVEI,['40']
FOCPOSBA,['102']
FOESQLHH,['2']
FOIEZVEI,"['68', '133', '2', '33']"
FOLGALWC,['40']
FOOLALHH,['123']
FOQZQZON,['2']
FOURUSBA,"['67', '102']"
FPEQWLHH,['102']
FPGWFLHH,"['92', '68']"
FPSSZXDB,"['52', '68']"
FPSUGNPL,"['15', '102']"
FPZIAMLY,"['102', '123']"
FPZQVSBA,['133']
FQAOTFGA,['100']
FQBRUVEI,"['68', '103']"
FQFJLZQJ,['67']
FQIBUVMW,['78']
FQJSKVYK,['45']
FQNLCAMC,"['133', '102', '58', '68']"
FQOAVFYS,"['40', '52', '68', '8']"
FQVKNDSN,['100']
FQWXMSOM,['52']
FRDHDBQT,['40']
FRFJRVEI,"['40', '90', '102']"
FRGCSPIF,['28']
FRJHMKEW,['78']
FRKWHXSF,"['69', '40', '21']"
FRMTZLHH,['68']
FRNUGXDO,['47']
FRSOGYMI,"['67', '135', '104']"
FRSTFPTK,"['15', '102', '68']"
FRVTSPTK,['2']
FRVXRRHW,['40']
FRXRSNCR,"['102', '68']"
FSAAIKRF,['68']
FSCZHDSN,['100']
FSIZTPLS,"['68', '133', '2']"
FSKDWVDY,"['15', '102', '104']"
FSLBTIOQ,"['133', '102', '52']"
FSNIMKRV,"['15', '102']"
FSOHCFGA,"['52', '27']"
FSSYOKWA,"['16', '78']"
FSUJTLHH,['2']
FSVBBXDO,"['133', '102']"
FSYNEVJP,['78']
FSZTTUFF,"['40', '114']"
FTDORADM,['78']
FTGKDWBO,"['13', '40', '102', '133']"
FTGNWAMC,['133']
FTKQEDAL,"['123', '52', '2', '32']"
FTNXPKEW,['46']
FTPEIMWW,['15']
FTQQHFNJ,['44']
FTTMRDAL,"['69', '52', '123', '32']"
FTUJMDHC,['78']
FTUKPHGW,['102']
FTWZDFNJ,['102']
FTYJYMHZ,"['7', '40', '120']"
FTYNWPTK,"['15', '102']"
FUCPKQFB,['46']
FUEGEKEW,"['38', '100', '46', '68']"
FUFKSSQK,"['1', '120']"
FUHDONPL,['123']
FUNCGCNX,['45']
FUONGAMC,"['106', '108', '133', '46', '65', '102', '74']"
FUPLHKDQ,"['69', '102', '52']"
FUXKHZQJ,['133']
FUXXAKWA,"['16', '78']"
FUZYZFNJ,['40']
FVBNTKPH,"['7', '40', '102']"
FVJCQPLS,['1']
FVKTNMRN,"['48', '133', '40', '2', '102']"
FVLOIFGA,['102']
FVMPMTKX,['104']
FVPQMXDO,"['133', '102']"
FVRFPNQN,"['10', '78']"
FVRUMELW,"['78', '68']"
FVTDENPL,['102']
FVTIHLHH,['102']
FVUXNFNJ,['102']
FVZENIWV,"['102', '48']"
FWDSCBQT,"['78', '45']"
FWKJRKEW,"['114', '102', '30', '139']"
FWPBXVYK,['102']
FWQBDBXG,"['32', '104']"
FWQGSVEI,['40']
FWQUOEUL,['102']
FWRVWDHC,['78']
FWUXOOXJ,['133']
FWVRTXTD,['78']
FWVUCPTK,"['68', '15', '102', '2']"
FXFYPBCH,['40']
FXHIQXDO,"['133', '102']"
FXJNABXG,"['48', '133', '90', '76', '68', '67', '102']"
FXNPWVEI,"['90', '104']"
FXPVNKWA,['78']
FXUDGHGW,"['40', '102', '105']"
FXVOLFYY,['2']
FXYSHHCQ,['78']
FXZPVANS,['102']
FYCJATKX,['15']
FYHQSHDU,"['13', '67', '102']"
FYJXHVCR,"['133', '68']"
FYSOWKEW,['102']
FYVVDNQN,"['78', '102']"
FYVZLIWV,['90']
FYWRIKRF,['102']
FYYCUZIE,"['133', '52']"
FZALVHVR,"['7', '133', '1', '68']"
FZFLNZLK,"['69', '67', '102']"
FZGASPTK,"['15', '102', '68']"
FZIAOAHW,['69']
FZLSQWPM,['78']
FZLUOAMC,"['106', '133', '100', '68', '99', '102']"
FZNORXGD,"['45', '2']"
FZOGKTFT,"['38', '102']"
FZOLUPTK,"['15', '22', '68', '2', '102']"
FZOVKPKK,"['38', '133', '90', '68', '67']"
FZTYYBXG,"['32', '104']"
FZVNIZIE,['102']
FZWKTVEI,"['40', '133']"
FZXKCPTK,"['15', '68']"
FZXOEBSK,"['40', '123']"
FZYINHIS,"['78', '102']"
FZYQTPTK,['15']
GABMJBGG,['15']
GABYEHGW,"['40', '102']"
GADHIVEI,"['40', '102', '133']"
GADHMMRN,"['133', '90', '49', '103', '40', '2', '104', '102']"
GAHTPMRN,['102']
GATHZNCR,['15']
GAUMQAMC,['133']
GAXONFYS,['123']
GAYXHOIP,['52']
GBACEPIF,['121']
GBAJXAMC,"['133', '102']"
GBDZXFYY,['52']
GBGNGNOT,['123']
GBHDNWTR,['68']
GBNODBSK,['123']
GBPLXVEI,"['52', '102', '48', '2']"
GBPVYAMC,"['133', '102', '139']"
GBPXIHDU,"['67', '102']"
GBQGXTFT,"['26', '47', '38', '27', '102']"
GBRCQFGA,"['133', '100']"
GBRFDNQN,['102']
GBRNCAMC,"['133', '102', '3', '139']"
GBTVUNPL,"['40', '15', '102', '105']"
GBXGQMWW,['15']
GBYIIVEI,"['40', '68']"
GCAHZMRN,"['40', '133']"
GCFJNLHH,['68']
GCIMKBXG,"['32', '104']"
GCIOZLHH,['68']
GCKXTKRV,['15']
GCNXXAEM,['2']
GCPJUNOT,['123']
GCPKUEZZ,"['68', '2']"
GCRTYVDY,"['15', '102', '104']"
GCSEHSBA,['40']
GCUGVDFS,['68']
GCYOGNOT,['123']
GDATEKEW,['67']
GDCZQDSN,['25']
GDKPAPTK,"['15', '22', '68', '2', '102']"
GDOSVAEM,['40']
GDPGXBXG,"['32', '104']"
GDTFDHGW,"['40', '114', '102']"
GDXKVUXS,"['112', '62']"
GECOHVEI,"['48', '32', '133', '67', '2', '102']"
GEFYWKRF,['2']
GEJCKVJP,['78']
GEMGOTEK,"['37', '123']"
GEOFAZIE,['102']
GEQOPBXG,"['32', '104']"
GERTKHCQ,"['78', '48']"
GEUTYPIK,['68']
GEXCYHVR,['78']
GEZBVXDO,"['51', '14', '97', '130', '1']"
GFDPTKDQ,['52']
GFEMBOIP,['52']
GFENMVCV,['123']
GFIVWPLS,"['68', '133', '2', '8']"
GFMNANPL,"['102', '65']"
GFXVLZIE,"['40', '15', '78', '102']"
GFZVGVEI,['123']
GGCFQAMC,['133']
GGJZEVEI,"['15', '102', '2']"
GGKHNCVX,['52']
GGLKAHGW,"['133', '114', '102', '97']"
GGMCCMRN,"['40', '102']"
GGSNQLHH,"['47', '67']"
GGVWQFNJ,"['102', '2']"
GHBMDUOY,"['123', '104']"
GHCBUVEI,"['45', '40', '133']"
GHKKSTFT,['38']
GHLIPNPL,"['102', '68']"
GHNFDFNJ,"['133', '102']"
GHYCYVEI,['90']
GICIEXDO,"['133', '100']"
GICMPMYV,['78']
GIJEDPTK,['15']
GIKCTWPM,['58']
GIPWSGJU,"['88', '1']"
GIRBTVDY,"['15', '102']"
GIXJEKRF,"['102', '2']"
GJHAVPKK,"['46', '68', '67', '84', '102']"
GJOCETFT,"['26', '38', '27']"
GJYNSBSK,['123']
GKBBMLWC,['133']
GKBZIEUV,['78']
GKDNUKDQ,"['40', '104']"
GKESECIW,['67']
GKJNZLHH,['16']
GKMFHNQN,['68']
GKNLQRGE,['78']
GKNURDHC,"['75', '102']"
GKQIQLHH,['133']
GKQMGUXS,"['133', '68', '40', '2', '102']"
GKRWFZIE,"['102', '52']"
GKVFMMWW,['15']
GKVHYUOO,"['15', '128']"
GKWWMUUK,['105']
GKXQOAMC,"['133', '100', '102', '68']"
GLAKZFNJ,['52']
GLAQJVEI,"['48', '32', '90', '49', '40']"
GLAWPPIF,"['121', '28']"
GLDRTWBO,"['52', '67', '40', '27', '102']"
GLEFXVEI,"['15', '102']"
GLFFXPTK,"['15', '102', '68']"
GLFINIWV,"['133', '15', '102', '52']"
GLGKREBY,['133']
GLJQQNOT,['123']
GLKRRMYV,"['78', '68']"
GLSHOTKX,['102']
GLUFWVEI,['33']
GMCSMLHH,['68']
GMERWPTK,['15']
GMFCAHAQ,['15']
GMGXCTFT,"['26', '38', '133', '90', '27', '102']"
GMIAYVEI,['40']
GMJILKDQ,"['69', '102', '52']"
GMKFUWTR,['94']
GMKHYXDO,"['51', '2']"
GMPPMKEW,"['40', '67']"
GMQQCCEI,"['13', '78', '102']"
GMSMDAMC,"['133', '102']"
GMTDRVEI,['102']
GMWQQPTK,"['68', '15', '2']"
GNBKGBXG,"['67', '48', '68']"
GNBTWWZF,['67']
GNCBFXGD,"['8', '1', '46']"
GNCTKLHH,"['67', '68']"
GNDHZPTK,"['15', '102', '68']"
GNGYOMYV,['102']
GNNOPSBA,"['38', '102', '135']"
GNPWDNPL,['123']
GNQUSHDU,"['67', '102']"
GNVRMNXN,"['109', '78', '102']"
GOAPNZGK,['123']
GODDLLHH,"['16', '65']"
GOPJGTFT,"['26', '47', '38', '96', '27']"
GORQXIFB,['68']
GOSSZVEI,"['68', '90', '40', '2']"
GOVAGHVR,['102']
GPESRRME,['68']
GPFCXVEI,"['69', '48', '32']"
GPJJZYUQ,"['13', '102']"
GPNVILHH,"['40', '78']"
GPPSZAMC,"['133', '100', '102']"
GPTBNVEI,"['40', '15', '49']"
GQAAUFYS,"['40', '52', '68', '8']"
GQEDIAMC,"['133', '102']"
GQFXWCJH,"['78', '5']"
GQGSTMWW,"['15', '68']"
GQJBPVEI,['102']
GQLDCDAL,"['133', '123', '32']"
GQNQNVEI,"['102', '2', '104']"
GQVEZPTK,"['15', '2']"
GRBOJQFB,"['68', '65']"
GRWELSBA,['38']
GSCHPVEI,"['40', '90', '2']"
GSEGKOTL,"['133', '67']"
GSFKPVEI,['90']
GSGBFFKM,"['133', '68']"
GSGVPMWW,"['15', '2']"
GSRSUPTK,['15']
